Price,Close
Ticker,AAPL
Date,
2020-01-02,72.40050506591797
2020-01-03,71.6966552734375
2020-01-06,72.2679214477539
2020-01-07,71.92806243896484
2020-01-08,73.0851058959961
2020-01-09,74.63750457763672
2020-01-10,74.80622100830078
2020-01-13,76.4044189453125
2020-01-14,75.3727035522461
2020-01-15,75.0497055053711
2020-01-16,75.98980712890625
2020-01-17,76.83108520507812
2020-01-21,76.31039428710938
2020-01-22,76.58280181884766
2020-01-23,76.95161437988281
2020-01-24,76.72982788085938
2020-01-27,74.47356414794922
2020-01-28,76.58039093017578
2020-01-29,78.18340301513672
2020-01-30,78.07010650634766
2020-01-31,74.60856628417969
2020-02-03,74.4036636352539
2020-02-04,76.8599853515625
2020-02-05,77.48677062988281
2020-02-06,78.3930892944336
2020-02-07,77.32755279541016
2020-02-10,77.69481658935547
2020-02-11,77.22607421875
2020-02-12,79.05998992919922
2020-02-13,78.49703216552734
2020-02-14,78.5163345336914
2020-02-18,77.07866668701172
2020-02-19,78.19498443603516
2020-02-20,77.39276885986328
2020-02-21,75.64099884033203
2020-02-24,72.04801940917969
2020-02-25,69.60760498046875
2020-02-26,70.71183776855469
2020-02-27,66.08951568603516
2020-02-28,66.05084228515625
2020-03-02,72.20022583007812
2020-03-03,69.9072036743164
2020-03-04,73.14983367919922
2020-03-05,70.77706909179688
2020-03-06,69.8371353149414
2020-03-09,64.31356811523438
2020-03-10,68.94554138183594
2020-03-11,66.55101776123047
2020-03-12,59.978797912597656
2020-03-13,67.1647720336914
2020-03-16,58.52421569824219
2020-03-17,61.097530364990234
2020-03-18,59.601863861083984
2020-03-19,59.14520263671875
2020-03-20,55.39033126831055
2020-03-23,54.21360397338867
2020-03-24,59.65260696411133
2020-03-25,59.32399368286133
2020-03-26,62.44580078125
2020-03-27,59.86040496826172
2020-03-30,61.56869888305664
2020-03-31,61.44306182861328
2020-04-01,58.2100944519043
2020-04-02,59.18143081665039
2020-04-03,58.33091354370117
2020-04-06,63.419551849365234
2020-04-07,62.68500900268555
2020-04-08,64.28941345214844
2020-04-09,64.75332641601562
2020-04-13,66.0242691040039
2020-04-14,69.35872650146484
2020-04-15,68.72564697265625
2020-04-16,69.2717514038086
2020-04-17,68.33179473876953
2020-04-20,66.91345977783203
2020-04-21,64.84514617919922
2020-04-22,66.71293640136719
2020-04-23,66.45437622070312
2020-04-24,68.37286376953125
2020-04-27,68.42119598388672
2020-04-28,67.3121337890625
2020-04-29,69.52302551269531
2020-04-30,70.98966217041016
2020-05-01,69.8468017578125
2020-05-04,70.8350601196289
2020-05-05,71.89820861816406
2020-05-06,72.63999938964844
2020-05-07,73.3914566040039
2020-05-08,75.1383056640625
2020-05-11,76.32063293457031
2020-05-12,75.44841766357422
2020-05-13,74.53743743896484
2020-05-14,74.99532318115234
2020-05-15,74.55196380615234
2020-05-18,76.30853271484375
2020-05-19,75.8675537109375
2020-05-20,77.34303283691406
2020-05-21,76.76641845703125
2020-05-22,77.26067352294922
2020-05-26,76.73734283447266
2020-05-27,77.07168579101562
2020-05-28,77.1056137084961
2020-05-29,77.03050231933594
2020-06-01,77.9778060913086
2020-06-02,78.33881378173828
2020-06-03,78.77005767822266
2020-06-04,78.09169006347656
2020-06-05,80.31580352783203
2020-06-08,80.79068756103516
2020-06-09,83.34188079833984
2020-06-10,85.48606872558594
2020-06-11,81.3818359375
2020-06-12,82.08446502685547
2020-06-15,83.099609375
2020-06-16,85.30193328857422
2020-06-17,85.1832275390625
2020-06-18,85.21712493896484
2020-06-19,84.73014068603516
2020-06-22,86.94701385498047
2020-06-23,88.80288696289062
2020-06-24,87.23532104492188
2020-06-25,88.39342498779297
2020-06-26,85.6774673461914
2020-06-29,87.65204620361328
2020-06-30,88.38375854492188
2020-07-01,88.21656036376953
2020-07-02,88.21656036376953
2020-07-06,90.57637023925781
2020-07-07,90.29533386230469
2020-07-08,92.3983154296875
2020-07-09,92.795654296875
2020-07-10,92.95799255371094
2020-07-13,92.5291519165039
2020-07-14,94.06035614013672
2020-07-15,94.70723724365234
2020-07-16,93.54187774658203
2020-07-17,93.35289001464844
2020-07-20,95.32019805908203
2020-07-21,94.00463104248047
2020-07-22,94.26871490478516
2020-07-23,89.97794342041016
2020-07-24,89.75504302978516
2020-07-27,91.88226318359375
2020-07-28,90.37286376953125
2020-07-29,92.10517883300781
2020-07-30,93.21964263916016
2020-07-31,102.97869873046875
2020-08-03,105.57349395751953
2020-08-04,106.27854919433594
2020-08-05,106.66375732421875
2020-08-06,110.38517761230469
2020-08-07,107.87549591064453
2020-08-10,109.44345092773438
2020-08-11,106.18862915039062
2020-08-12,109.71772766113281
2020-08-13,111.65943908691406
2020-08-14,111.55992126464844
2020-08-17,111.26866149902344
2020-08-18,112.19586944580078
2020-08-19,112.33662414550781
2020-08-20,114.8293228149414
2020-08-21,120.74676513671875
2020-08-24,122.19091796875
2020-08-25,121.18850708007812
2020-08-26,122.83655548095703
2020-08-27,121.3681411743164
2020-08-28,121.1715316772461
2020-08-31,125.28071594238281
2020-09-01,130.2709503173828
2020-09-02,127.57193756103516
2020-09-03,117.35844421386719
2020-09-04,117.43612670898438
2020-09-08,109.53324127197266
2020-09-09,113.90215301513672
2020-09-10,110.18372344970703
